0,4.49955e-06
1,6.59537e-05
2,5.70713e-05
3,4.99472e-05
4,4.52461e-05
5,4.07488e-05
6,3.63648e-05
7,3.25021e-05
8,2.90179e-05
9,2.5887e-05
10,2.29292e-05
11,2.00793e-05
12,1.73224e-05
13,1.46427e-05
14,1.22693e-05
15,1.14152e-05
16,9.23361e-06
17,8.47696e-06
18,7.56987e-06
19,6.80418e-06
20,6.22562e-06
21,5.72602e-06
22,5.31321e-06
23,4.99551e-06
24,4.73723e-06
25,4.53173e-06
26,4.37193e-06
27,4.244e-06
28,4.13913e-06
29,4.05298e-06
30,3.98e-06
31,3.91609e-06
32,3.86364e-06
33,3.81863e-06
34,3.77609e-06
35,3.73882e-06
